"tagfield","liblibrarian","libopac","repeatable","mandatory","authorised_value","frameworkcode"
"867","6","Linkage","Linkage","0","0","","8","","","","","5","","","","","9999"
"867","8","Field link and sequence number","Field link and sequence number","1","0","","8","","","","","5","","","","","9999"
"867","a","Textual string","Textual string","0","0","","8","","","","0","5","","","","","9999"
"867","x","Nonpublic note","Nonpublic note","1","0","","8","","","","0","5","","","","","9999"
"867","z","Public note","Public note","1","0","","8","","","","0","5","","","","","9999"
"868","6","Linkage","Linkage","0","0","","8","","","","","5","","","","","9999"
"868","8","Field link and sequence number","Field link and sequence number","1","0","","8","","","","","5","","","","","9999"
"868","a","Textual string","Textual string","0","0","","8","","","","0","5","","","","","9999"
"868","x","Nonpublic note","Nonpublic note","1","0","","8","","","","0","5","","","","","9999"
"868","z","Public note","Public note","1","0","","8","","","","0","5","","","","","9999"
"870","4","Relator code","Relator code","1","0","","8","","","","","-6","","","","","9999"
"870","6","Linkage","Linkage","0","0","","8","","","","","-6","","","","","9999"
"870","a","Personal name","Personal name","0","0","","8","","","","","-6","","","","","9999"
"870","b","Numeration","Numeration","0","0","","8","","","","","-6","","","","","9999"
"870","c","Titles and other words associated with a name","Titles and other words associated with a name","1","0","","8","","","","","-6","","","","","9999"
"870","d","Dates associated with a name","Dates associated with a name","0","0","","8","","","","","-6","","","","","9999"
"870","e","Relator term","Relator term","1","0","","8","","","","","-6","","","","","9999"
"870","f","Date of a work","Date of a work","0","0","","8","","","","","-6","","","","","9999"
"870","g","Miscellaneous information","Miscellaneous information","0","0","","8","","","","","-6","","","","","9999"
"870","j","Tag and sequence number","Tag and sequence number","0","0","","8","","","","","-6","","","","","9999"
"870","k","Form subheading","Form subheading","1","0","","8","","","","","-6","","","","","9999"
"870","l","Language of a work","Language of a work","0","0","","8","","","","","-6","","","","","9999"
"870","n","Number of part/section of a work","Number of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"870","p","Name of part/section of a work","Name of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"870","q","Fuller form of name","Fuller form of name","0","0","","8","","","","","-6","","","","","9999"
"870","t","Title of a work","Title of a work","0","0","","8","","","","","-6","","","","","9999"
"870","u","Affiliation","Affiliation","0","0","","8","","","","","-6","","","","","9999"
"871","4","Relator code","Relator code","1","0","","8","","","","","-6","","","","","9999"
"871","6","Linkage","Linkage","0","0","","8","","","","","-6","","","","","9999"
"871","a","Corporate name or jurisdiction name as entry element","Corporate name or jurisdiction name as entry element","0","0","","8","","","","","-6","","","","","9999"
"871","b","Subordinate unit","Subordinate unit","1","0","","8","","","","","-6","","","","","9999"
"871","c","Location of meeting","Location of meeting","0","0","","8","","","","","-6","","","","","9999"
"871","d","Date of meeting or treaty signing","Date of meeting or treaty signing","1","0","","8","","","","","-6","","","","","9999"
"871","e","Relator term","Relator term","1","0","","8","","","","","-6","","","","","9999"
"871","f","Date of a work","Date of a work","0","0","","8","","","","","-6","","","","","9999"
"871","g","Miscellaneous information","Miscellaneous information","0","0","","8","","","","","-6","","","","","9999"
"871","j","Tag and sequence number","Tag and sequence number","0","0","","8","","","","","-6","","","","","9999"
"871","k","Form subheading","Form subheading","1","0","","8","","","","","-6","","","","","9999"
"871","l","Language of a work","Language of a work","0","0","","8","","","","","-6","","","","","9999"
"871","n","Number of part/section/meeting","Number of part/section/meeting","1","0","","8","","","","","-6","","","","","9999"
"871","p","Name of part/section of a work","Name of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"871","t","Title of a work","Title of a work","0","0","","8","","","","","-6","","","","","9999"
"871","u","Affiliation","Affiliation","0","0","","8","","","","","-6","","","","","9999"
"872","4","Relator code","Relator code","1","0","","8","","","","","-6","","","","","9999"
"872","6","Linkage","Linkage","0","0","","8","","","","","-6","","","","","9999"
"872","a","Meeting name or jurisdiction name as entry element","Meeting name or jurisdiction name as entry element","0","0","","8","","","","","-6","","","","","9999"
"872","b","Number [OBSOLETE]","Number [OBSOLETE]","0","0","","8","","","","","-6","","","","","9999"
"872","c","Location of meeting","Location of meeting","0","0","","8","","","","","-6","","","","","9999"
"872","d","Date of meeting","Date of meeting","0","0","","8","","","","","-6","","","","","9999"
"872","e","Subordinate unit","Subordinate unit","1","0","","8","","","","","-6","","","","","9999"
"872","f","Date of a work","Date of a work","0","0","","8","","","","","-6","","","","","9999"
"872","g","Miscellaneous information","Miscellaneous information","0","0","","8","","","","","-6","","","","","9999"
"872","j","Tag and sequence number","Tag and sequence number","0","0","","8","","","","","-6","","","","","9999"
"872","k","Form subheading","Form subheading","1","0","","8","","","","","-6","","","","","9999"
"872","l","Language of a work","Language of a work","0","0","","8","","","","","-6","","","","","9999"
"872","n","Number of part/section/meeting","Number of part/section/meeting","1","0","","8","","","","","-6","","","","","9999"
"872","p","Name of part/section of a work","Name of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"872","q","Name of meeting following jurisdiction name entry element","Name of meeting following jurisdiction name entry element","0","0","","8","","","","","-6","","","","","9999"
"872","t","Title of a work","Title of a work","0","0","","8","","","","","-6","","","","","9999"
"872","u","Affiliation","Affiliation","0","0","","8","","","","","-6","","","","","9999"
"873","6","Linkage","Linkage","0","0","","8","","","","","-6","","","","","9999"
"873","a","Uniform title","Uniform title","0","0","","8","","","","","-6","","","","","9999"
"873","d","Date of treaty signing","Date of treaty signing","1","0","","8","","","","","-6","","","","","9999"
"873","f","Date of a work","Date of a work","0","0","","8","","","","","-6","","","","","9999"
"873","g","Miscellaneous information","Miscellaneous information","0","0","","8","","","","","-6","","","","","9999"
"873","h","Medium","Medium","0","0","","8","","","","","-6","","","","","9999"
"873","j","Tag and sequence number","Tag and sequence number","0","0","","8","","","","","-6","","","","","9999"
"873","k","Form subheading","Form subheading","1","0","","8","","","","","-6","","","","","9999"
"873","l","Language of a work","Language of a work","0","0","","8","","","","","-6","","","","","9999"
"873","m","Medium of performance for music","Medium of performance for music","1","0","","8","","","","","-6","","","","","9999"
"873","n","Number of part/section of a work","Number of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"873","o","Arranged statement for music","Arranged statement for music","0","0","","8","","","","","-6","","","","","9999"
"873","p","Name of part/section of a work","Name of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"873","r","Key for music","Key for music","0","0","","8","","","","","-6","","","","","9999"
"873","s","Version","Version","0","0","","8","","","","","-6","","","","","9999"
"873","t","Title of a work","Title of a work","0","0","","8","","","","","-6","","","","","9999"
"876","3","Materials specified","Materials specified","0","0","","8","","","","","5","","","","","9999"
"876","6","Linkage","Linkage","0","0","","8","","","","","5","","","","","9999"
"876","8","Sequence number","Sequence number","1","0","","8","","","","","5","","","","","9999"
"876","a","Internal item number","Internal item number","0","0","","8","","","","","5","","","","","9999"
"876","b","Invalid or canceled internal item number","Invalid or canceled internal item number","1","0","","8","","","","","5","","","","","9999"
"876","c","Cost","Cost","1","0","","8","","","","","5","","","","","9999"
"876","d","Date acquired","Date acquired","1","0","","8","","","","","5","","","","","9999"
"876","e","Source of acquisition","Source of acquisition","1","0","","8","","","","","5","","","","","9999"
"876","h","Use restrictions","Use restrictions","1","0","","8","","","","","5","","","","","9999"
"876","j","Item status","Item status","1","0","","8","","","","","5","","","","","9999"
"876","l","Temporary location","Temporary location","1","0","","8","","","","","5","","","","","9999"
"876","p","Piece designation","Piece designation","1","0","","8","","","","","5","","","","","9999"
"876","r","Invalid or canceled piece designation","Invalid or canceled piece designation","1","0","","8","","","","","5","","","","","9999"
"876","t","Copy number","Copy number","0","0","","8","","","","","5","","","","","9999"
"876","x","Nonpublic note","Nonpublic note","1","0","","8","","","","","5","","","","","9999"
"876","z","Public note","Public note","1","0","","8","","","","","5","","","","","9999"
"877","3","Materials specified","Materials specified","0","0","","8","","","","","5","","","","","9999"
"877","6","Linkage","Linkage","0","0","","8","","","","","5","","","","","9999"
"877","8","Sequence number","Sequence number","1","0","","8","","","","","5","","","","","9999"
"877","a","Internal item number","Internal item number","0","0","","8","","","","","5","","","","","9999"
"877","b","Invalid or canceled internal item number","Invalid or canceled internal item number","1","0","","8","","","","","5","","","","","9999"
"877","c","Cost","Cost","1","0","","8","","","","","5","","","","","9999"
"877","d","Date acquired","Date acquired","1","0","","8","","","","","5","","","","","9999"
"877","e","Source of acquisition","Source of acquisition","1","0","","8","","","","","5","","","","","9999"
"877","h","Use restrictions","Use restrictions","1","0","","8","","","","","5","","","","","9999"
"877","j","Item status","Item status","1","0","","8","","","","","5","","","","","9999"
"877","l","Temporary location","Temporary location","1","0","","8","","","","","5","","","","","9999"
"877","p","Piece designation","Piece designation","1","0","","8","","","","","5","","","","","9999"
"877","r","Invalid or canceled piece designation","Invalid or canceled piece designation","1","0","","8","","","","","5","","","","","9999"
"877","t","Copy number","Copy number","0","0","","8","","","","","5","","","","","9999"
"877","x","Nonpublic note","Nonpublic note","1","0","","8","","","","","5","","","","","9999"
"877","z","Public note","Public note","1","0","","8","","","","","5","","","","","9999"
"878","3","Materials specified","Materials specified","0","0","","8","","","","","5","","","","","9999"
"878","6","Linkage","Linkage","0","0","","8","","","","","5","","","","","9999"
"878","8","Sequence number","Sequence number","1","0","","8","","","","","5","","","","","9999"
"878","a","Internal item number","Internal item number","0","0","","8","","","","","5","","","","","9999"
"878","b","Invalid or canceled internal item number","Invalid or canceled internal item number","1","0","","8","","","","","5","","","","","9999"
"878","c","Cost","Cost","1","0","","8","","","","","5","","","","","9999"
"878","d","Date acquired","Date acquired","1","0","","8","","","","","5","","","","","9999"
"878","e","Source of acquisition","Source of acquisition","1","0","","8","","","","","5","","","","","9999"
"878","h","Use restrictions","Use restrictions","1","0","","8","","","","","5","","","","","9999"
"878","j","Item status","Item status","1","0","","8","","","","","5","","","","","9999"
"878","l","Temporary location","Temporary location","1","0","","8","","","","","5","","","","","9999"
"878","p","Piece designation","Piece designation","1","0","","8","","","","","5","","","","","9999"
"878","r","Invalid or canceled piece designation","Invalid or canceled piece designation","1","0","","8","","","","","5","","","","","9999"
"878","t","Copy number","Copy number","0","0","","8","","","","","5","","","","","9999"
"878","x","Nonpublic note","Nonpublic note","1","0","","8","","","","","5","","","","","9999"
"878","z","Public note","Public note","1","0","","8","","","","","5","","","","","9999"
"880","2","2","2","1","0","","8","","","","","-6","","","","","9999"
"880","3","3","3","1","0","","8","","","","","-6","","","","","9999"
"880","4","4","4","1","0","","8","","","","","-6","","","","","9999"
"880","5","5","5","1","0","","8","","","","","-6","","","","","9999"
"880","6","Linkage","Linkage","0","0","","8","","","","","-6","","","","","9999"
"880","7","7","7","1","0","","8","","","","","-6","","","","","9999"
"880","8","8","8","1","0","","8","","","","","-6","","","","","9999"
"880","9","9","9","1","0","","8","","","","","-6","","","","","9999"
"880","a","a","a","1","0","","8","","","","","-6","","","","","9999"
"880","b","b","b","1","0","","8","","","","","-6","","","","","9999"
"880","c","c","c","1","0","","8","","","","","-6","","","","","9999"
"880","d","d","d","1","0","","8","","","","","-6","","","","","9999"
"880","e","e","e","1","0","","8","","","","","-6","","","","","9999"
"880","f","f","f","1","0","","8","","","","","-6","","","","","9999"
"880","g","g","g","1","0","","8","","","","","-6","","","","","9999"
"880","h","h","h","1","0","","8","","","","","-6","","","","","9999"
"880","i","i","i","1","0","","8","","","","","-6","","","","","9999"
"880","j","j","j","1","0","","8","","","","","-6","","","","","9999"
"880","k","k","k","1","0","","8","","","","","-6","","","","","9999"
"880","l","l","l","1","0","","8","","","","","-6","","","","","9999"
"880","m","m","m","1","0","","8","","","","","-6","","","","","9999"
"880","n","n","n","1","0","","8","","","","","-6","","","","","9999"
"880","o","o","o","1","0","","8","","","","","-6","","","","","9999"
"880","p","p","p","1","0","","8","","","","","-6","","","","","9999"
"880","q","q","q","1","0","","8","","","","","-6","","","","","9999"
"880","r","r","r","1","0","","8","","","","","-6","","","","","9999"
"880","s","s","s","1","0","","8","","","","","-6","","","","","9999"
"880","t","t","t","1","0","","8","","","","","-6","","","","","9999"
"880","u","u","u","1","0","","8","","","","","-6","","","","","9999"
"880","v","v","v","1","0","","8","","","","","-6","","","","","9999"
"880","w","w","w","1","0","","8","","","","","-6","","","","","9999"
"880","x","x","x","1","0","","8","","","","","-6","","","","","9999"
"880","y","y","y","1","0","","8","","","","","-6","","","","","9999"
"880","z","z","z","1","0","","8","","","","","-6","","","","","9999"
"886","0","0","0","1","0","","8","","","","","-6","","","","","9999"
"886","1","1","1","1","0","","8","","","","","-6","","","","","9999"
"886","2","2","2","1","0","","8","","","","","-6","","","","","9999"
"886","3","3","3","1","0","","8","","","","","-6","","","","","9999"
"886","4","4","4","1","0","","8","","","","","-6","","","","","9999"
"886","5","5","5","1","0","","8","","","","","-6","","","","","9999"
"886","6","6","6","1","0","","8","","","","","-6","","","","","9999"
"886","7","7","7","1","0","","8","","","","","-6","","","","","9999"
"886","8","8","8","1","0","","8","","","","","-6","","","","","9999"
"886","9","9","9","1","0","","8","","","","","-6","","","","","9999"
"886","a","a","a","1","0","","8","","","","","-6","","","","","9999"
"886","b","b","b","1","0","","8","","","","","-6","","","","","9999"
"886","c","c","c","1","0","","8","","","","","-6","","","","","9999"
"886","d","d","d","1","0","","8","","","","","-6","","","","","9999"
"886","e","e","e","1","0","","8","","","","","-6","","","","","9999"
"886","f","f","f","1","0","","8","","","","","-6","","","","","9999"
"886","g","g","g","1","0","","8","","","","","-6","","","","","9999"
"886","h","h","h","1","0","","8","","","","","-6","","","","","9999"
"886","i","i","i","1","0","","8","","","","","-6","","","","","9999"
"886","j","j","j","1","0","","8","","","","","-6","","","","","9999"
"886","k","k","k","1","0","","8","","","","","-6","","","","","9999"
"886","l","l","l","1","0","","8","","","","","-6","","","","","9999"
"886","m","m","m","1","0","","8","","","","","-6","","","","","9999"
"886","n","n","n","1","0","","8","","","","","-6","","","","","9999"
"886","o","o","o","1","0","","8","","","","","-6","","","","","9999"
"886","p","p","p","1","0","","8","","","","","-6","","","","","9999"
"886","q","q","q","1","0","","8","","","","","-6","","","","","9999"
"886","r","r","r","1","0","","8","","","","","-6","","","","","9999"
"886","s","s","s","1","0","","8","","","","","-6","","","","","9999"
"886","t","t","t","1","0","","8","","","","","-6","","","","","9999"
"886","u","u","u","1","0","","8","","","","","-6","","","","","9999"
"886","v","v","v","1","0","","8","","","","","-6","","","","","9999"
"886","w","w","w","1","0","","8","","","","","-6","","","","","9999"
"886","x","x","x","1","0","","8","","","","","-6","","","","","9999"
"886","y","y","y","1","0","","8","","","","","-6","","","","","9999"
"886","z","z","z","1","0","","8","","","","","-6","","","","","9999"
"887","2","Source of data","Source of data","0","0","","8","","","","","0","","","","","9999"
"887","a","Content of non-MARC field","Content of non-MARC field","0","0","","8","","","","","0","","","","","9999"
"896","%","% (RLIN)","% (RLIN)","0","0","","8","","","","0","-6","","","","","9999"
"896","4","Relator code","Relator code","1","0","","8","","","","","-6","","","","","9999"
"896","6","Linkage","Linkage","0","0","","8","","","","","-6","","","","","9999"
"896","8","Field link and sequence number","Field link and sequence number","1","0","","8","","","","","-6","","","","","9999"
"896","9","9 (RLIN)","9 (RLIN)","0","0","","8","","","","0","-5","","","","","9999"
"896","a","Personal name","Personal name","0","0","","8","","PERSO_NAME","","","-6","","","","","9999"
"896","b","Numeration","Numeration","0","0","","8","","","","","-6","","","","","9999"
"896","c","Titles and other words associated with a name","Titles and other words associated with a name","1","0","","8","","","","","-6","","","","","9999"
"896","d","Dates associated with a name","Dates associated with a name","0","0","","8","","","","","-6","","","","","9999"
"896","e","Relator term","Relator term","1","0","","8","","","","","-6","","","","","9999"
"896","f","Date of a work","Date of a work","0","0","","8","","","","","-6","","","","","9999"
"896","g","Miscellaneous information","Miscellaneous information","0","0","","8","","","","","-6","","","","","9999"
"896","h","Medium","Medium","0","0","","8","","","","","-6","","","","","9999"
"896","j","Attribution qualifier","Attribution qualifier","1","0","","8","","","","","-6","","","","","9999"
"896","k","Form subheading","Form subheading","1","0","","8","","","","","-6","","","","","9999"
"896","l","Language of a work","Language of a work","0","0","","8","","","","","-6","","","","","9999"
"896","m","Medium of performance for music","Medium of performance for music","1","0","","8","","","","","-6","","","","","9999"
"896","n","Number of part/section of a work","Number of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"896","o","Arranged statement for music","Arranged statement for music","0","0","","8","","","","","-6","","","","","9999"
"896","p","Name of part/section of a work","Name of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"896","q","Fuller form of name","Fuller form of name","0","0","","8","","","","","-6","","","","","9999"
"896","r","Key for music","Key for music","0","0","","8","","","","","-6","","","","","9999"
"896","s","Version","Version","0","0","","8","","","","","-6","","","","","9999"
"896","t","Title of a work","Title of a work","0","0","","8","","","","","-6","","","","","9999"
"896","u","Affiliation","Affiliation","0","0","","8","","","","","-6","","","","","9999"
"896","v","Volume/sequential designation","Volume/sequential designation","0","0","","8","","","","","-6","","","","","9999"
"897","%","% (RLIN)","% (RLIN)","0","0","","8","","","","0","-6","","","","","9999"
"897","4","Relator code","Relator code","1","0","","8","","","","","-6","","","","","9999"
"897","6","Linkage","Linkage","0","0","","8","","","","","-6","","","","","9999"
"897","8","Field link and sequence number","Field link and sequence number","1","0","","8","","","","","-6","","","","","9999"
"897","9","9 (RLIN)","9 (RLIN)","0","0","","8","","","","0","-5","","","","","9999"
"897","a","Corporate name or jurisdiction name as entry element","Corporate name or jurisdiction name as entry element","0","0","","8","","CORPO_NAME","","","-6","","","","","9999"
"897","b","Subordinate unit","Subordinate unit","1","0","","8","","","","","-6","","","","","9999"
"897","c","Location of meeting","Location of meeting","0","0","","8","","","","","-6","","","","","9999"
"897","d","Date of meeting or treaty signing","Date of meeting or treaty signing","1","0","","8","","","","","-6","","","","","9999"
"897","e","Relator term","Relator term","1","0","","8","","","","","-6","","","","","9999"
"897","f","Date of a work","Date of a work","0","0","","8","","","","","-6","","","","","9999"
"897","g","Miscellaneous information","Miscellaneous information","0","0","","8","","","","","-6","","","","","9999"
"897","h","Medium","Medium","0","0","","8","","","","","-6","","","","","9999"
"897","k","Form subheading","Form subheading","1","0","","8","","","","","-6","","","","","9999"
"897","l","Language of a work","Language of a work","0","0","","8","","","","","-6","","","","","9999"
"897","m","Medium of performance for music","Medium of performance for music","1","0","","8","","","","","-6","","","","","9999"
"897","n","Number of part/section/meeting","Number of part/section/meeting","1","0","","8","","","","","-6","","","","","9999"
"897","o","Arranged statement for music","Arranged statement for music","0","0","","8","","","","","-6","","","","","9999"
"897","p","Name of part/section of a work","Name of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"897","r","Key for music","Key for music","0","0","","8","","","","","-6","","","","","9999"
"897","s","Version","Version","0","0","","8","","","","","-6","","","","","9999"
"897","t","Title of a work","Title of a work","0","0","","8","","","","","-6","","","","","9999"
"897","u","Affiliation","Affiliation","0","0","","8","","","","","-6","","","","","9999"
"897","v","Volume/sequential designation","Volume/sequential designation","0","0","","8","","","","","-6","","","","","9999"
"898","%","% (RLIN)","% (RLIN)","0","0","","8","","","","0","-6","","","","","9999"
"898","4","Relator code","Relator code","1","0","","8","","","","","-6","","","","","9999"
"898","6","Linkage","Linkage","0","0","","8","","","","","-6","","","","","9999"
"898","8","Field link and sequence number ","Field link and sequence number ","1","0","","8","","","","","-6","","","","","9999"
"898","9","9 (RLIN)","9 (RLIN)","0","0","","8","","","","0","-5","","","","","9999"
"898","a","Meeting name or jurisdiction name as entry element","Meeting name or jurisdiction name as entry element","0","0","","8","","MEETI_NAME","","","-6","","","","","9999"
"898","b","Number (BK CF MP MU SE VM MX) [OBSOLETE]","Number (BK CF MP MU SE VM MX) [OBSOLETE]","0","0","","8","","","","","-6","","","","","9999"
"898","c","Location of meeting","Location of meeting","0","0","","8","","","","","-6","","","","","9999"
"898","d","Date of meeting","Date of meeting","0","0","","8","","","","","-6","","","","","9999"
"898","e","Subordinate unit","Subordinate unit","1","0","","8","","","","","-6","","","","","9999"
"898","f","Date of a work","Date of a work","0","0","","8","","","","","-6","","","","","9999"
"898","g","Miscellaneous information","Miscellaneous information","0","0","","8","","","","","-6","","","","","9999"
"898","h","Medium","Medium","0","0","","8","","","","","-6","","","","","9999"
"898","k","Form subheading","Form subheading","1","0","","8","","","","","-6","","","","","9999"
"898","l","Language of a work","Language of a work","0","0","","8","","","","","-6","","","","","9999"
"898","n","Number of part/section/meeting","Number of part/section/meeting","1","0","","8","","","","","-6","","","","","9999"
"898","p","Name of part/section of a work","Name of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"898","q","Name of meeting following jurisdiction name entry element","Name of meeting following jurisdiction name entry element","0","0","","8","","","","","-6","","","","","9999"
"898","s","Version","Version","0","0","","8","","","","","-6","","","","","9999"
"898","t","Title of a work","Title of a work","0","0","","8","","","","","-6","","","","","9999"
"898","u","Affiliation","Affiliation","0","0","","8","","","","","-6","","","","","9999"
"898","v","Volume/sequential designation","Volume/sequential designation","0","0","","8","","","","","-6","","","","","9999"
"899","%","% (RLIN)","% (RLIN)","0","0","","8","","","","0","-6","","","","","9999"
"899","6","Linkage","Linkage","0","0","","8","","","","","-6","","","","","9999"
"899","8","Field link and sequence number","Field link and sequence number","1","0","","8","","","","","-6","","","","","9999"
"899","9","9 (RLIN)","9 (RLIN)","0","0","","8","","","","0","-5","","","","","9999"
"899","a","Uniform title","Uniform title","0","0","","8","","UNIF_TITLE","","","-6","","","","","9999"
"899","d","Date of treaty signing","Date of treaty signing","1","0","","8","","","","","-6","","","","","9999"
"899","f","Date of a work","Date of a work","0","0","","8","","","","","-6","","","","","9999"
"899","g","Miscellaneous information","Miscellaneous information","0","0","","8","","","","","-6","","","","","9999"
"899","h","Medium","Medium","0","0","","8","","","","","-6","","","","","9999"
"899","k","Form subheading","Form subheading","1","0","","8","","","","","-6","","","","","9999"
"899","l","Language of a work","Language of a work","0","0","","8","","","","","-6","","","","","9999"
"899","m","Medium of performance for music","Medium of performance for music","1","0","","8","","","","","-6","","","","","9999"
"899","n","Number of part/section of a work","Number of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"899","o","Arranged statement for music","Arranged statement for music","0","0","","8","","","","","-6","","","","","9999"
"899","p","Name of part/section of a work","Name of part/section of a work","1","0","","8","","","","","-6","","","","","9999"
"899","r","Key for music","Key for music","0","0","","8","","","","","-6","","","","","9999"
"899","s","Version","Version","0","0","","8","","","","","-6","","","","","9999"
"899","t","Title of a work","Title of a work","0","0","","8","","","","","-6","","","","","9999"
"899","v","Volume number/sequential designation","Volume number/sequential designation","0","0","","8","","","","","5","","","","","9999"
"900","4","Relator code","Relator code","1","0","","9","","","","0","-6","","","","","9999"
"900","6","Linkage","Linkage","0","0","","9","","","","0","-6","","","","","9999"
"900","8","Field link and sequence number","Field link and sequence number","1","0","","9","","","","0","-6","","","","","9999"
"900","a","Personal name","Personal name","0","0","","9","","","","0","5","","'110a', '700a', '710a'","","","9999"
"900","b","Numeration","Numeration","0","0","","9","","","","0","-6","","","","","9999"
"900","c","Titles and other words associated with a name","Titles and other words associated with a name","1","0","","9","","","","0","-6","","","","","9999"
"900","d","Dates associated with a name","Dates associated with a name","0","0","","9","","","","0","-6","","","","","9999"
"900","e","Relator term","Relator term","1","0","","9","","","","0","-6","","","","","9999"
"900","f","Date of a work","Date of a work","0","0","","9","","","","0","-6","","","","","9999"
"900","g","Miscellaneous information","Miscellaneous information","0","0","","9","","","","0","-6","","","","","9999"
"900","j","Attribution qualifier","Attribution qualifier","1","0","","9","","","","0","-6","","","","","9999"
"900","k","Form subheading","Form subheading","1","0","","9","","","","0","-6","","","","","9999"
"900","l","Language of a work","Language of a work","0","0","","9","","","","0","-6","","","","","9999"
"900","n","Number of part/section of a work","Number of part/section of a work","1","0","","9","","","","0","-6","","","","","9999"
"900","p","Name of part/section of a work","Name of part/section of a work","1","0","","9","","","","0","-6","","","","","9999"
"900","q","Fuller form of name","Fuller form of name","0","0","","9","","","","0","-6","","","","","9999"
"900","t","Title of a work","Title of a work","0","0","","9","","","","0","-6","","","","","9999"
"900","u","Affiliation","Affiliation","0","0","","9","","","","0","-6","","","","","9999"
"901","0","0","0","1","0","","9","","","","","-6","","","","","9999"
"901","1","1","1","1","0","","9","","","","","-6","","","","","9999"
"901","2","2","2","1","0","","9","","","","","-6","","","","","9999"
"901","3","3","3","1","0","","9","","","","","-6","","","","","9999"
"901","4","4","4","1","0","","9","","","","","-6","","","","","9999"
"901","5","5","5","1","0","","9","","","","","-6","","","","","9999"
"901","6","6","6","1","0","","9","","","","","-6","","","","","9999"
"901","7","7","7","1","0","","9","","","","","-6","","","","","9999"
"901","8","8","8","1","0","","9","","","","","-6","","","","","9999"
"901","9","9","9","1","0","","9","","","","","-6","","","","","9999"
"901","a","a","a","1","0","","9","","","","","-6","","","","","9999"
"901","b","b","b","1","0","","9","","","","","-6","","","","","9999"
"901","c","c","c","1","0","","9","","","","","-6","","","","","9999"
"901","d","d","d","1","0","","9","","","","","-6","","","","","9999"
"901","e","e","e","1","0","","9","","","","","-6","","","","","9999"
"901","f","f","f","1","0","","9","","","","","-6","","","","","9999"
"901","g","g","g","1","0","","9","","","","","-6","","","","","9999"
"901","h","h","h","1","0","","9","","","","","-6","","","","","9999"
"901","i","i","i","1","0","","9","","","","","-6","","","","","9999"
"901","j","j","j","1","0","","9","","","","","-6","","","","","9999"
"901","k","k","k","1","0","","9","","","","","-6","","","","","9999"
"901","l","l","l","1","0","","9","","","","","-6","","","","","9999"
"901","m","m","m","1","0","","9","","","","","-6","","","","","9999"
"901","n","n","n","1","0","","9","","","","","-6","","","","","9999"
"901","o","o","o","1","0","","9","","","","","-6","","","","","9999"
"901","p","p","p","1","0","","9","","","","","-6","","","","","9999"
"901","q","q","q","1","0","","9","","","","","-6","","","","","9999"
"901","r","r","r","1","0","","9","","","","","-6","","","","","9999"
"901","s","s","s","1","0","","9","","","","","-6","","","","","9999"
"901","t","t","t","1","0","","9","","","","","-6","","","","","9999"
"901","u","u","u","1","0","","9","","","","","-6","","","","","9999"
"901","v","v","v","1","0","","9","","","","","-6","","","","","9999"
"901","w","w","w","1","0","","9","","","","","-6","","","","","9999"
"901","x","x","x","1","0","","9","","","","","-6","","","","","9999"
"901","y","y","y","1","0","","9","","","","","-6","","","","","9999"
"901","z","z","z","1","0","","9","","","","","-6","","","","","9999"
"902","0","0","0","1","0","","9","","","","","-6","","","","","9999"
"902","1","1","1","1","0","","9","","","","","-6","","","","","9999"
"902","2","2","2","1","0","","9","","","","","-6","","","","","9999"
"902","3","3","3","1","0","","9","","","","","-6","","","","","9999"
"902","4","4","4","1","0","","9","","","","","-6","","","","","9999"
"902","5","5","5","1","0","","9","","","","","-6","","","","","9999"
"902","6","6","6","1","0","","9","","","","","-6","","","","","9999"
"902","7","7","7","1","0","","9","","","","","-6","","","","","9999"
"902","8","8","8","1","0","","9","","","","","-6","","","","","9999"
"902","9","9","9","1","0","","9","","","","","-6","","","","","9999"
"902","a","a","a","1","0","","9","","","","","-6","","","","","9999"
"902","b","b","b","1","0","","9","","","","","-6","","","","","9999"
"902","c","c","c","1","0","","9","","","","","-6","","","","","9999"
"902","d","d","d","1","0","","9","","","","","-6","","","","","9999"
"902","e","e","e","1","0","","9","","","","","-6","","","","","9999"
"902","f","f","f","1","0","","9","","","","","-6","","","","","9999"
"902","g","g","g","1","0","","9","","","","","-6","","","","","9999"
"902","h","h","h","1","0","","9","","","","","-6","","","","","9999"
"902","i","i","i","1","0","","9","","","","","-6","","","","","9999"
"902","j","j","j","1","0","","9","","","","","-6","","","","","9999"
"902","k","k","k","1","0","","9","","","","","-6","","","","","9999"
"902","l","l","l","1","0","","9","","","","","-6","","","","","9999"
"902","m","m","m","1","0","","9","","","","","-6","","","","","9999"
"902","n","n","n","1","0","","9","","","","","-6","","","","","9999"
"902","o","o","o","1","0","","9","","","","","-6","","","","","9999"
